Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-06-30,30477.251953125,31256.86328125,29600.275390625,30441.353515625,26387306197,27477.575390625,25469.751262517264,80.59748779091268
2023-07-01,30590.078125,30641.2890625,30328.865234375,30471.84765625,9086606733,27553.2771484375,25497.884926596842,80.39398527226405
2023-07-02,30620.76953125,30766.140625,30264.01953125,30587.26953125,10533418042,27630.0109765625,25525.8788315403,82.62137698131221
2023-07-03,31156.439453125,31375.61328125,30586.513671875,30624.515625,15271884873,27714.5269921875,25556.479704483696,82.67638729783766
2023-07-04,30777.58203125,31325.197265625,30659.35546875,31156.865234375,12810828427,27786.224765625,25584.701879222972,72.31272189138616
2023-07-05,30514.166015625,30877.330078125,30225.61328125,30778.724609375,12481622280,27855.775078125,25611.204374579975,56.00486021814132
2023-07-06,29909.337890625,31460.052734375,29892.2265625,30507.150390625,21129219509,27905.98578125,25634.18904578877,49.96761105410867
2023-07-07,30342.265625,30434.64453125,29777.28515625,29907.998046875,13384770155,27976.1869140625,25659.232006316488,45.78869514754471
2023-07-08,30292.541015625,30374.4375,30080.16015625,30346.921875,7509378699,28044.23515625,25683.746868799604,46.873469823671236
2023-07-09,30171.234375,30427.58984375,30085.591796875,30291.611328125,7903327692,28105.068125,25707.365224095396,46.27618312418214
2023-07-10,30414.470703125,31026.083984375,29985.39453125,30172.423828125,14828209155,28178.281015625,25732.009755399216,51.71318096550668
2023-07-11,30620.951171875,30788.314453125,30358.09765625,30417.6328125,12151839152,28253.6744921875,25757.47299194336,49.1541055365984
2023-07-12,30391.646484375,30959.96484375,30228.8359375,30622.24609375,14805659717,28316.992890625,25781.484253562176,54.24134763996461
2023-07-13,31476.048828125,31814.515625,30268.3515625,30387.48828125,23686079548,28419.8175,25810.83767920425,61.913998915425296
2023-07-14,30334.068359375,31582.25390625,29966.38671875,31474.720703125,20917902660,28496.9747265625,25834.03373397436,48.6829217111849
